productId,record
B003AI2VGA,0
B0078V2LCY,0
B00006HAXW,0
B003ZG3GAM,0
B00004CQT4,0
B004BH1TN0,0
B0071AD95K,0
B00004CQT3,0
B006JIUN2W,0
B000063W1R,0
B000WI23KA,0
B000NDFLWG,0
B008FPU7AA,0
0790747324,0
B007NF02Q2,0
B0001G6PZC,0
B002OHDRF2,0
B000OIOSF6,0
B0070225F4,0
B000IZJR3I,0
1562229567,0
6300157423,0
B0023S4A12,0
1888617047,0
B000OIOSFG,0
B001CCMLR0,0
B004ZWHZUC,0
B004XSUBE0,0
6300147967,0
B004TWOX26,0
630436119X,0
0800103688,0
B00004CQTP,0
B0050QNO2K,0
B0092MDYV4,0
B001GBPZRU,0
B000056PNI,0
B00004CQTF,0
6305508569,0
B0036Q2RR4,0
B0006FFRD4,0
B0016OLXN2,0
B000CDSS86,0
B000056PNH,0
6303257933,0
B0000060T0,0
B0009Y2LTU,0
B000063W82,0
630187837X,0
6302139724,0
B0002BO0V2,0
B002B900BM,0
B003BUAP10,0
6304286961,0
B0036BDQ38,0
6301248546,0
B00020HBN2,0
B007EMEOEA,0
B000XEDVEA,0
B000BB1NFO,0
B00005226W,0
6305949816,0
B0042AH2I2,0
6304276958,0
B000056PNV,0
6303149073,0
B000GAKJXM,0
B0001BMMEA,0
B0099VUXCQ,0
B0036DBMMI,0
B000UGBOT0,0
B00022VM5S,0
B00020HBNW,0
B00096S43U,0
B00096S43K,0
B000SKO8DC,0
B00020HBNC,0
B00096S43A,0
B00022VM5I,0
B0095D5454,0
B0006FFRDE,0
B0000060TP,0
6300213153,0
B002KBG4TS,0
6303955746,0
B0012EM5GK,0
B0002V7TJM,0
B001MBE63I,0
B000GB5M5Q,0
B0002V7TJC,0
B0002V7TJW,0
B0006FFRDO,0
B000MRA54M,0
6301173147,0
6301661869,0
B006FYGF8Q,0
B0042800WE,0
6302760046,0
B000PGDHHC,0
B004EPYZQ2,0
B005G5PNOW,0
B00000HF14,0
B001I7HLTW,0
B0002EJ87U,0
B00062IZGS,0
B00284EM3M,0
B00062IZGI,0
B000I0RVSG,0
B009B6XA1U,0
B003QWVPTE,0
B0085KGGLY,0
B000CNET2A,0
B00000IC84,0
B000CNET2K,0
B00000IC89,0
B00005952Q,0
B00000IC80,0
B00000IC83,0
B00000IC82,0
B0048KQQC4,0
B000FVQLQQ,0
B00000IC87,0
B00284EM3C,0
B0030FT96S,0
6300246299,0
B0018PH3K6,0
B000JBXHBO,0
B004GIZX3Q,0
6305796173,0
B002LSIAQU,0
B0019RP6KC,0
B0030ZOYW2,0
B0007Z9RCU,0
630403945X,0
B002CWKTZA,0
B0051ZIXMQ,0
6302999014,0
6304179499,0
B00000IC8F,0
B000Q7ZNZ4,0
B00000IC8K,0
B00000IC8E,0
B00000IC8M,0
B001E6JCBC,0
B00000IC8I,0
1573470937,0
B002LSIAQ0,0
B008BSM1EG,0
B004AR4WA8,0
B000CNET20,0
B0031Z5RWW,0
B003QWVPT4,0
B0088QNUUK,0
B0041XQRR2,0
B000CEXFBU,0
B000065K9R,0
B004EPYZQM,0
B000065FKL,0
B000FOR9XM,0
B000H5U5IU,0
B004XSHQRU,0
B004AX5J5E,0
B0031Z5RWC,0
B006UANE8E,0
B000QGE8ME,0
B008R52L4I,0
B009RAF860,0
B00000IBNW,0
B0014567LQ,0
B0001EYSQC,0
B000H5U5IK,0
B000I9TX1U,0
B001LMU1A0,0
B004G6ZPX6,0
B00004RQB1,0
078401115X,0
B00004CM33,0
B000B19E8W,0
B0007ORDMW,0
B00004RXMK,0
B000T4SWXO,0
B007CU8PAI,0
B001EI5BWE,0
B00433TOWA,0
B001N8Z8K0,0
B000W2FI7Q,0
B0000TPAVK,0
B00013EY80,0
B00028G74S,0
B00005Y961,0
B0042W131W,0
6304888465,0
B003BV8IBI,0
6300276554,0
B002B7CFR6,0
B000F6ZPKY,0
6303359329,0
6304880677,0
B00097E6NQ,0
B001AQT0VI,0
B00004RQBA,0
B004SCMGSU,0
B000GALHPQ,0
B003HE4FBG,0
B000BNXD2S,0
B00004T6FK,0
6305988838,0
B00004RQBF,0
6305340854,0
B003BGZ60Y,0
B0094MOQ0K,0
6305074054,0
B008R52L48,0
0790750708,0
6301967917,0
B000TGUUG4,0
6301387090,0
6303704840,0
B000NVI2JM,0
B000NVL49W,0
6301045734,0
B0035YKW0Q,0
B000VHVGMI,0
B000KGGJ0E,0
6304040164,0
B000LXH5PO,0
B0076XTH8K,0
6302149525,0
6302643651,0
B004X4ROPS,0
B002KFPMBA,0
B0000764K0,0
5556167281,0
6302405688,0
